Name,ULAN,Wikidata
"Paul Sargent Gallery, Eastern Illinois University",,
Pfizer,,
Philadelphia Art Alliance,,
Philadelphia Civic Center,500311140,
Philbrook Art Center,500311846,Q2997830
"Picture Gallery, Saint- Gaudens Memorial",,
Pinacoteca Capitolina,500311265,Q333906
Plazzo Strozzi,500304892,
"Plymouth Institute, Plymouth Church",,
Polytechnic University,,
Pori Art Museum,500311431,Q4412746
Port of History Museum,,
Portland Arts & Satta,,
Priska C. Juschka Fine Art,,
Public Art Fund,500252550,Q3925277
Rensselaer Polytechnic Institute,,Q49211
Resnick Gallery,,
Robin Des Bois,,
"Rose Art Center, Brandeis University",500312723,
S.J. Tilden High School,,
Safe-T-Gallery,,
San Antonio Museum of Art,500450258,Q1647706
Scott Pfaffman Gallery,,
Sezon Museum of Art,500309732,Q11314323
Shela Metzner Studio,,
Shinjuku Isetan Museum,500309683,
Shreveport Art Guild,,
Silkeborg Kunstmuseum,,Q3125109
Skidmore College,,
Skylight Gallery at Restoration Plaza,,
South Dakota Memorial Art Center,,
South London Gallery,500260550,Q3492259
Southern Art Association,,
Space Station,,
Spiral Group,,
St. John's University,,Q111942228
Staatliche Kunstsammlungen,,Q653002
Staatsgalerie Stuttgart,500212396,Q14917275
Stadelsches Kunstinstitut und Stadtische Galerie,500305374,Q163804
Stadtische Kunsthalle Diisseldorf,500307739,
Stadtische Kunsthalle Mannheim,500302573,Q468458
State Russian Museum,500308399,Q211043
State Tretiakov Gallery,,Q183334
State University College Student Union,,
Stay Gold Gallery,,
Sunny's Barin Red Hook,,
Talladega College,500309405,Q7680006
Tampa Bay Art Center,,
Tate Gallery and Serpentine Gallery,,
Teltair Academy or Arts and Sciences,500308821,Q7697192
Thai Cafe,,
The Art Gallery of Ontario,500245617,Q670250
"The Boise Art Association, Boise Art Gallery, ",,
The Butler Institute of American Art,500312024,Q5002627
The Cleveland Museum of Art,500209693,Q657415
The College of Idaho,,
The College of St. Catherine,,
The Contemporary Arts Center,500209840,Q5164962
The Corcoran Gallery,500265171,Q768446
The Dallas Museum of Fine Arts,500213367,
The Dayton Art Institute,500306302,Q597355
The Edmonton Art Gallery,500307823,Q705545
"The Fogg Art Museum, Harvard University",500265900,
"The Lowe Art Museum, University of Miami",500302832,
The Mansfield Art Center,,Q6751622
The Massillon Museum,,
The Menil Collection,500232240,Q1888308
The Menil Foundation,500232240,Q22022424
The Minneapolis Institute of Arts,500225381,Q1700481
The National Collection of Fine Arts,500311463,Q1192305
The National Gallery of Art,500115983,Q214867
The North Carolina Museum of Art,500232672,Q1459878
The Pennsylvania State College,500312098,Q739627
The Philadelphia National Bank,,
"The Picker Art Gallery, Colgate University",,Q103776961
The Portland Art Museum,500285887,Q279049
The Portland Museum of Art,500329602,Q2105170
The Reading Public Museum and Art Gallery,500310505,
The Saginaw Museum,,Q2211813
The St. Louis Art Museum,500308329,Q1760539
The St. Louis Art Museum and Forum for Contemporary Art,500308329,
The State College of Washington,,
The State University of Iowa,500304961,Q182973
The UCLA Art Galleries,,Q7864026
"The University Museum and Art Gallery, Florida State University",500309406,
The University of Georgia,500312901,Q761534
The University of Wyoming,,Q1326975
"The William Hayes Ackland Art Museum, University of North Carolina",500300092,
Tokyo Metropolitan Teien Art Museum,500309702,Q743773
TRA Gallery,,
Triangle Open Studios,,
Tucson Museum of Art,500274703,Q6940811
TUniversity of Arizona Museum of Art,500311837,
Tyler Museum of Art,,Q7860098
"United Service Organizations, Inc. (USO)",,
"University Art Museum, University of Texas",500306535,
"University Gallery, University of Florida",500305825,
University of Alabama,,Q492318
University of California,500306299,Q111943058
University of Iowa Museum of Art,500300545,Q7895562
"University of Minnesota, The University Gallery",500308351,
University of Missouri,500312909,Q579968
University of Nevada,,Q1185955
University of Southern Florida,500309425,
Utah Museum of Fine Arts,500308471,Q2502866
Vancouver Art Gallery,500254710,Q371960
Vanderbilt College,,Q29052
Wah Center,,
Wake Forest University Art Gallery,,
Wallral- Richartz-Museum,500305277,
Warwick Arts Trust,500302047,
Washington University Art Gallery,,Q777403
Wessel + O'Connor Fine Art,,Q110130952
West Brooklyn Independent Democrats,,
West Virginia State College,,
Westport Arts Center,,
Wheaton College,,Q747179
Whitechapel Art Gallery,500241109,Q1814654
Whitney Museum of American Art,500303638,Q639791
William Rockhill Nelson Gallery and Atkins Museum of Fine Arts,500231020,
William Rockhill Nelson Gallery of Art,500231020,
Williams College Museum of Art,500311730,Q12072937
Williamsburg Art Nexus,,
Wisteria Artspace,,
Women's City Club of Detroit,,Q8030856
World Wide Frames,,
Zappeion Palace,500306501,
Zion Gallery,,
Total,,
